2026-05-27 13:38:00 status unpacked base-files:amd64 13ubuntu10
2026-05-27 13:38:00 status half-installed base-files:amd64 13ubuntu10
2026-05-27 13:38:01 status unpacked base-files:amd64 13ubuntu10
2026-05-27 13:38:01 upgrade base-passwd:amd64 3.6.3build1 3.6.3build1
2026-05-27 13:38:01 status half-configured base-passwd:amd64 3.6.3build1
2026-05-27 13:38:01 status unpacked base-passwd:amd64 3.6.3build1
2026-05-27 13:38:01 status half-installed base-passwd:amd64 3.6.3build1
2026-05-27 13:38:01 status unpacked base-passwd:amd64 3.6.3build1
2026-05-27 13:38:01 install bash:amd64 <none> 5.2.21-2ubuntu4
2026-05-27 13:38:01 status half-installed bash:amd64 5.2.21-2ubuntu4
2026-05-27 13:38:01 status unpacked bash:amd64 5.2.21-2ubuntu4
2026-05-27 13:38:01 install bsdutils:amd64 <none> 1:2.39.3-9ubuntu6
2026-05-27 13:38:01 status half-installed bsdutils:amd64 1:2.39.3-9ubuntu6
2026-05-27 13:38:01 status unpacked bsdutils:amd64 1:2.39.3-9ubuntu6
2026-05-27 13:38:01 install coreutils:amd64 <none> 9.4-3ubuntu6
2026-05-27 13:38:01 status half-installed coreutils:amd64 9.4-3ubuntu6
2026-05-27 13:38:01 status unpacked coreutils:amd64 9.4-3ubuntu6
2026-05-27 13:38:01 install dash:amd64 <none> 0.5.12-6ubuntu5
2026-05-27 13:38:01 status half-installed dash:amd64 0.5.12-6ubuntu5
2026-05-27 13:38:01 status unpacked dash:amd64 0.5.12-6ubuntu5
2026-05-27 13:38:01 install debconf:all <none> 1.5.86ubuntu1
2026-05-27 13:38:01 status half-installed debconf:all 1.5.86ubuntu1
2026-05-27 13:38:01 status unpacked debconf:all 1.5.86ubuntu1
2026-05-27 13:38:01 install debianutils:amd64 <none> 5.17build1
2026-05-27 13:38:01 status half-installed debianutils:amd64 5.17build1
2026-05-27 13:38:01 status unpacked debianutils:amd64 5.17build1
2026-05-27 13:38:01 install diffutils:amd64 <none> 1:3.10-1build1
2026-05-27 13:38:01 status half-installed diffutils:amd64 1:3.10-1build1
2026-05-27 13:38:01 status unpacked diffutils:amd64 1:3.10-1build1
2026-05-27 13:38:01 upgrade dpkg:amd64 1.22.6ubuntu6 1.22.6ubuntu6
2026-05-27 13:38:01 status half-configured dpkg:amd64 1.22.6ubuntu6
2026-05-27 13:38:01 status unpacked dpkg:amd64 1.22.6ubuntu6
2026-05-27 13:38:01 status half-installed dpkg:amd64 1.22.6ubuntu6
2026-05-27 13:38:01 status unpacked dpkg:amd64 1.22.6ubuntu6
2026-05-27 13:38:01 install e2fsprogs:amd64 <none> 1.47.0-2.4~exp1ubuntu4
2026-05-27 13:38:01 status half-installed e2fsprogs:amd64 1.47.0-2.4~exp1ubuntu4
2026-05-27 13:38:01 status unpacked e2fsprogs:amd64 1.47.0-2.4~exp1ubuntu4
2026-05-27 13:38:01 install findutils:amd64 <none> 4.9.0-5build1
2026-05-27 13:38:01 status half-installed findutils:amd64 4.9.0-5build1
2026-05-27 13:38:01 status unpacked findutils:amd64 4.9.0-5build1
2026-05-27 13:38:01 install gcc-14-base:amd64 <none> 14-20240412-0ubuntu1
2026-05-27 13:38:01 status half-installed gcc-14-base:amd64 14-20240412-0ubuntu1
2026-05-27 13:38:01 status unpacked gcc-14-base:amd64 14-20240412-0ubuntu1
2026-05-27 13:38:01 install grep:amd64 <none> 3.11-4build1
